RepWeekDate,RegID,PCR Detection
10/09/21,3,9.783
10/16/21,3,8.757
10/23/21,3,7.758
10/30/21,3,6.299
11/06/21,3,6.235
11/13/21,3,5.509
11/20/21,3,4.945
11/27/21,3,5.239
12/04/21,3,4.179
12/11/21,3,3.889
12/18/21,3,3.32
12/25/21,3,3.117
01/01/22,3,2.588
01/08/22,3,2.032
01/15/22,3,1.167
01/22/22,3,1.329
01/29/22,3,1.097
02/05/22,3,1.079
02/12/22,3,1.131
02/19/22,3,1.081
02/26/22,3,0.928
03/05/22,3,1.156
03/12/22,3,1.441
03/19/22,3,1.198
03/26/22,3,1.053
04/02/22,3,1.163
04/09/22,3,1.366
04/16/22,3,1.384
04/23/22,3,1.792
04/30/22,3,2.491
05/07/22,3,3.174
05/14/22,3,3.725
05/21/22,3,4.656
05/28/22,3,5.615
06/04/22,3,7.25
06/11/22,3,7.82
06/18/22,3,8.446
06/25/22,3,7.793
07/02/22,3,8.433
07/09/22,3,7.375
07/16/22,3,5.95
07/23/22,3,6.871
07/30/22,3,6.181
08/06/22,3,5.787
08/13/22,3,5.901
08/20/22,3,5.246
08/27/22,3,6.057
09/03/22,3,6.758
09/10/22,3,9.098
09/17/22,3,11.732
09/24/22,3,14.867
10/01/22,3,17.19
10/08/22,3,18.167
10/15/22,3,18.225
10/22/22,3,16.598
10/29/22,3,14.364
11/05/22,3,12.441
11/12/22,3,11.306
11/19/22,3,9.633
11/26/22,3,7.987
12/03/22,3,7.037
12/10/22,3,6.03
12/17/22,3,5.116
12/24/22,3,4.318
12/31/22,3,4.1
01/07/23,3,3.494
01/14/23,3,2.945
01/21/23,3,2.476
01/28/23,3,1.819
02/04/23,3,1.878
02/11/23,3,1.681
02/18/23,3,1.349
02/25/23,3,1.132
03/04/23,3,1.188
03/11/23,3,1.046
03/18/23,3,1.011
03/25/23,3,0.946
04/01/23,3,0.836
04/08/23,3,0.739
04/15/23,3,0.85
04/22/23,3,0.588
05/01/21,4,0.247
05/08/21,4,0.123
05/15/21,4,0.064
05/22/21,4,0.294
05/29/21,4,0.173
06/05/21,4,0.414
06/12/21,4,0.435
06/19/21,4,0.565
06/26/21,4,0.904
07/03/21,4,1.616
07/10/21,4,1.784
07/17/21,4,2.082
07/24/21,4,3.519
07/31/21,4,4.209
08/07/21,4,4.597
08/14/21,4,5.395
08/21/21,4,5.934
08/28/21,4,6.519
09/04/21,4,6.425
09/11/21,4,7.543
09/18/21,4,7.165
09/25/21,4,7.342
10/02/21,4,8.511
10/09/21,4,8.919
10/16/21,4,6.598
10/23/21,4,8.483
10/30/21,4,6.968
11/06/21,4,8.452
11/13/21,4,10.041
11/20/21,4,10.741
11/27/21,4,11.986
12/04/21,4,11.703
12/11/21,4,12.68
12/18/21,4,13.503
12/25/21,4,11.396
01/01/22,4,8.426
01/08/22,4,6.663
01/15/22,4,4.629
01/22/22,4,3.988
01/29/22,4,3.299
02/05/22,4,2.94
02/12/22,4,2.254
02/19/22,4,2.367
02/26/22,4,2.223
03/05/22,4,1.693
03/12/22,4,1.726
03/19/22,4,1.421
03/26/22,4,1.451
04/02/22,4,1.327
04/09/22,4,1.265
04/16/22,4,0.9
04/23/22,4,1.135
04/30/22,4,1.192
05/07/22,4,1.025
05/14/22,4,1.376
05/21/22,4,1.162
05/28/22,4,0.853
06/04/22,4,0.914
06/11/22,4,0.958
06/18/22,4,1.208
06/25/22,4,0.968
07/02/22,4,0.917
07/09/22,4,0.928
07/16/22,4,1.082
07/23/22,4,1.318
07/30/22,4,1.229
08/06/22,4,1.225
08/13/22,4,1.552
08/20/22,4,1.402
08/27/22,4,1.874
09/03/22,4,2.411
09/10/22,4,2.642
09/17/22,4,3.154
09/24/22,4,4.475
10/01/22,4,6.462
10/08/22,4,8.949
10/15/22,4,10.979
10/22/22,4,13.511
10/29/22,4,15.415
11/05/22,4,17.752
11/12/22,4,20.656
11/19/22,4,18.354
11/26/22,4,16.515
12/03/22,4,11.932
12/10/22,4,9.193
12/17/22,4,8.331
12/24/22,4,7.748
12/31/22,4,7.191
01/07/23,4,7.417
01/14/23,4,5.752
01/21/23,4,4.89
01/28/23,4,3.455
02/04/23,4,3.151
02/11/23,4,2.433
02/18/23,4,2.44
02/25/23,4,1.831
03/04/23,4,1.575
03/11/23,4,1.268
03/18/23,4,1.118
03/25/23,4,0.934
04/01/23,4,0.802
04/08/23,4,0.651
04/15/23,4,0.635
04/22/23,4,0.658
